features,Duration;features,FileSize;fname
7,039818594104308;620956;0006ae4e,wav
2,054784580498866;181276;0019ef41,wav
1,5187301587301587;133996;001ec0ad,wav
25,530294784580498;2251816;0026c7cb,wav
1,3750113378684807;121320;0026f116,wav
14,140952380952381;1247276;003be5db,wav
8,04485260770975;709600;0041de6b,wav
0,8333333333333334;73544;004ca909,wav
0,416734693877551;36800;00713ec2,wav
5,1;449864;0073825a,wav
23,873832199546484;2105716;00975c2a,wav
7,411972789115646;653780;009ca29f,wav
0,9404081632653061;82988;00b0b76f,wav
9,896916099773243;872952;00c17dd2,wav
9,0;793844;00c40a6d,wav
12,124625850340136;1069436;00c4e82c,wav
27,56;2430836;00c7ff40,wav
17,600725623582765;1552428;00c91dfc,wav
4,166666666666667;367544;00ffa0d2,wav
1,1580498866213151;102184;0110ba24,wav
1,1513832199546485;101596;012c15b5,wav
4,288503401360544;378290;013b01b9,wav
1,9062358276643991;168174;01565c33,wav
0,6599546485260771;58252;015a50b9,wav
7,63936507936508;673836;0164cba5,wav
2,814875283446712;248316;0175a379,wav
1,8750113378684807;165420;019234bc,wav
2,4235827664399094;213804;0199c0a0,wav
3,8406122448979594;338786;01a5de85,wav
1,6944444444444444;149494;02171503,wav
11,0;970244;0217540b,wav
2,1;185264;02286d70,wav
2,252267573696145;198694;02356bfd,wav
1,508299319727891;133076;023935e1,wav
1,890408163265306;166778;02430fbe,wav
0,9294104308390023;82018;024e0fbe,wav
7,511292517006803;662540;02633663,wav
23,0356462585034;2031788;027ab7f6,wav
9,896916099773243;872952;028ddadb,wav
3,1250113378684805;275670;029adfea,wav
18,790566893424035;1657372;029bd777,wav
0,34467120181405897;30444;029c1c70,wav
1,479342403628118;130522;02a25949,wav
15,0;1323044;02a5aae7,wav
23,974126984126983;2114562;02abea37,wav
1,3597732426303855;119976;02c55707,wav
6,339659863945578;559202;02c86123,wav
5,773424036281179;509260;02ddd8da,wav
1,2614739229024943;111306;02e3dbfe,wav
2,96;261116;02f54ef1,wav
25,212176870748298;2223758;02fb5725,wav
2,972154195011338;262188;030d5b55,wav
9,6;846764;03106a7c,wav
7,0;617444;0331a1bb,wav
5,975827664399093;527112;035d21e0,wav
2,248299319727891;198344;03730245,wav
0,8651020408163266;76346;037b9243,wav
4,158072562358277;366786;03815f4c,wav
1,259002267573696;111088;038296b8,wav
8,101859410430839;714628;038af178,wav
2,1254875283446713;187512;03bafda9,wav
21,72;1915748;03d241c1,wav
12,863356009070294;1134592;03e47a59,wav
3,346575963718821;295212;03e77f6b,wav
1,5478231292517006;136562;03ea2668,wav
5,6124716553287985;495064;03f48534,wav
0,5000907029478459;44152;03f91aaf,wav
1,4770975056689342;130324;040d2615,wav
2,53172335600907;223342;0413fb41,wav
0,4527891156462585;39980;0418490e,wav
19,278367346938776;1700396;0430a0a5,wav
14,238616780045351;1255890;0435216a,wav
2,2392063492063494;197542;04371c4d,wav
17,184467120181406;1515714;045cae2f,wav
12,93732426303855;1141116;045f2252,wav
29,928798185941044;2639764;0468b055,wav
1,5;132344;04763f39,wav
8,762607709750567;772906;047fd092,wav
15,255510204081633;1345580;04933b8f,wav
6,384353741496598;563144;04b781ac,wav
20,0;1764044;04b8360a,wav
